| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |  12   |   0   | +6.9280e-01 | 1.00e+00 | 2.61e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   0   |
|   2   |  24   |   1   | +6.2315e-01 | 3.38e+00 | 3.50e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|   3   |  36   |   2   | +5.1850e-01 | 3.38e+00 | 4.30e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|   4   |  48   |   3   | +3.8641e-01 | 3.38e+00 | 4.65e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|   5   |  60   |   5   | +2.5539e-01 | 3.38e+00 | 4.19e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|   6   |  84   |   8   | +2.5539e-01 | 8.97e-01 | 4.19e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|   7   |  108  |  10   | +1.3767e-01 | 1.79e+00 | 2.47e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
/opt/miniconda3/envs/miscenv/lib/python3.12/site-packages/scipy/optimize/_differentiable_functions.py:551: UserWarning: delta_grad == 0.0. Check if the approximated function is linear. If the function is linear better results can be obtained by defining the Hessian as zero instead of using quasi-Newton approximations.
  self.H.update(delta_x, delta_g)
|   8   |  132  |  14   | +1.3767e-01 | 1.79e-01 | 2.47e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|   9   |  144  |  16   | +8.6998e-02 | 3.59e-01 | 1.57e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  10   |  168  |  20   | +8.6998e-02 | 5.03e-02 | 1.57e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  11   |  180  |  21   | +7.5436e-02 | 3.52e-01 | 1.27e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  12   |  204  |  26   | +7.5436e-02 | 3.52e-02 | 1.27e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  13   |  216  |  27   | +6.9034e-02 | 2.47e-01 | 1.14e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  14   |  240  |  30   | +6.9034e-02 | 5.64e-02 | 1.14e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  15   |  252  |  31   | +6.0081e-02 | 3.95e-01 | 9.64e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  16   |  276  |  33   | +6.0081e-02 | 1.37e-01 | 9.64e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  17   |  288  |  34   | +4.3051e-02 | 9.58e-01 | 6.79e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  18   |  312  |  39   | +4.3051e-02 | 9.58e-02 | 6.79e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  19   |  324  |  40   | +3.3012e-02 | 9.58e-02 | 5.67e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  20   |  336  |  41   | +2.5384e-02 | 6.70e-01 | 1.01e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  21   |  360  |  45   | +2.5384e-02 | 1.15e-01 | 1.01e-01 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  22   |  372  |  47   | +1.7505e-02 | 8.04e-01 | 6.64e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  23   |  396  |  52   | +1.7505e-02 | 1.00e-01 | 6.64e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  24   |  408  |  54   | +1.1368e-02 | 7.02e-01 | 3.68e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  25   |  432  |  59   | +1.1368e-02 | 7.02e-02 | 3.68e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  26   |  444  |  61   | +8.1983e-03 | 4.92e-01 | 3.44e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  27   |  468  |  66   | +8.1983e-03 | 4.92e-02 | 3.44e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  28   |  480  |  68   | +6.1904e-03 | 3.44e-01 | 2.16e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  29   |  504  |  74   | +6.1904e-03 | 3.44e-02 | 2.16e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
|  30   |  516  |  76   | +5.1654e-03 | 2.41e-01 | 2.90e-02 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  31   |  528  |  80   | +6.5904e-04 | 1.69e+00 | 7.17e-03 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   2   |
|  32   |  552  |  85   | +6.5904e-04 | 1.69e-01 | 7.17e-03 | 0.00e+00 | 1.00e+00 |  1.00e-03   |   4   |
